SR_NO	STUD_ID	NAME	AGE	SEX	BRANCH	%AGE
1	101	sunita	23	F	med	87.5
2	102	diya	22	F	non med	56.7
3	103	devi	24	F	med	67.5
4	104	bindu	20	F	med	55.7
5	105	sonika	20	F	arts	66.7
6	106	sonika	21	F	non med	68.7
7	107	ritu	20	F	com	80.5
8	108	divya	25	F	com	79.7
9	109	sweety	19	F	non med	90.4
10	110	sumitra	18	F	arts	45.6
11	111	seema	18	F	arts	46.7
12	112	neetu	21	F	non med	66.4
13	113	anita	25	F	non med	66.7
14	114	aakrti	20	F	non med	65.9
15	115	aarushi	20	F	non med	78.9
16	116	seema	18	F	non med	87.8
17	117	anjali	19	F	non med	74.6
18	118	deep	21	M	med	55.8
19	119	daizy	22	M	med	77.9
20	120	divyansh	25	M	arts	56.7
21	121	bindiya	18	F	non med	67.7
22	122	gareema	22	F	com	78.8
23	123	reena	18	F	com	77.8
24	124	preeti	19	F	non med	45.6
25	125	fatima	21	F	arts	44.5
26	126	zoha	21	F	non med	49.88
27	127	akshara	22	F	med	35.5
28	128	anita	25	F	non med	65.9
29	129	neena	24	F	med	89.22
30	130	ritu	22	F	med	87.6
31	131	neeru	21	F	med	56.7
32	132	pranjal	18	F	med	65.5
33	133	anjali	20	F	com	45.6
34	134	dipika	21	F	arts	56.7
35	135	wazir	20	M	non med	67.8
36	136	deepak	20	M	arts	47.8
37	137	meera	20	F	arts	23.4
38	138	neeru	20	F	non med	57
39	139	nirmal	21	F	arts	69.7
40	140	kapil	22	M	non med	87.8
41	141	neeraj	25	M	com	88.7
42	142	nitasha	24	F	com	65.5
43	143	namarta	21	F	non med	66.5
44	144	pooja	22	F	arts	67.7
45	145	pradeep	20	M	non med	63.6
46	146	sumitra	21	F	med	54.6
47	147	sumit	21	M	arts	56.7
48	148	manisha	21	F	com	58.7
49	149	mahak	25	F	com	54.8
50	150	amit	20	M	arts	45.6
51	151	amita	21	F	non med	66.7
52	152	sachin	21	M	non med	56.7
53	153	suchita	20	F	med	56.7
54	154	aarti	24	F	med	77.6
55	155	harjeet	18	F	non med	78.6
56	156	jyoti	18	F	arts	77.6
57	157	kavita	18	F	arts	87.4
58	158	sudesh	19	F	non med	79.3
59	159	raman	19	M	arts	56.7
60	160	ankit	21	M	med	66.9
61	161	arpit	22	M	arts	45.8
62	162	sagar	18	M	non med	67.7
63	163	neha	18	F	com	69.77
64	164	kamal	18	M	com	78.66
65	165	keshav	21	M	med	77.4
66	166	kirti	25	F	arts	55.7
67	167	prerna	21	F	non med	56.78
68	168	preetam	20	M	med	78.7
69	169	roopam	21	F	arts	65.6
70	170	preeti	22	F	non med	34.55
71	171	rupali	22	F	com	45.66
72	172	vishal	22	M	com	67.89
73	173	neelam	24	F	non med	78.66
74	174	monika	18	F	arts	89.77
75	175	suman	19	F	med	65.7
76	176	sumanlata	18	F	com	67.77
77	177	sheetal	18	F	com	65.9
78	178	harish	18	M	com	56.78
79	179	harvinder	19	M	med	67.77
80	180	harpreet	20	M	arts	67.4
81	181	harender	20	M	non med	68.8
82	182	jitender	20	M	com	64.6
83	183	jatin	20	M	com	65.88
84	184	gajana	25	F	non med	65.77
85	185	gobind	21	M	med	988.3
86	186	gareema	20	F	arts	88.4
87	187	tripti	21	F	non med	67.4
88	188	zoha	21	F	med	66
89	189	nitesh	20	M	arts	87
90	190	nikhil	24	M	non med	76.7
91	191	prachi	25	F	med	54
92	192	payal	22	F	arts	57.6
93	193	neeraj	24	M	non med	55
94	194	lakshit	21	M	med	65.6
95	195	kushal	20	M	arts	65.6
96	196	yash	18	M	non med	76.8
97	197	khushi	18	F	com	77.8
98	198	rashmi	18	F	com	76.8
99	199	anu	24	F	non med	67.88
100	200	dinesh	25	F	com	76.77
101	201	rano	24	F	com	45.66
102	202	rajni	21	F	non med	56.77
103	203	pooja	24	F	med	56.7
104	204	shahibala	20	F	arts	45.6
105	205	anju	24	F	non med	56.7
106	206	indu	24	F	med	67.7
107	207	mamta	24	F	arts	78.5
108	208	priyanka	20	F	non med	66.7
109	209	rachna	25	F	med	56.8
110	210	varsha	24	F	arts	76.9
111	211	sanjeet	25	F	med	77.6
112	212	ganga	23	F	arts	58
113	213	rachit	24	M	non med	68.7
114	214	durga	21	F	med	67.7
115	215	mohita	25	F	arts	67
116	216	manpreet	24	F	non med	89.66
117	217	savita	23	F	com	88.7
118	218	rajbala	23	F	com	76.7
119	219	dipti	23	F	non med	77.5
120	220	nikhil	20	M	com	65.5
121	221	ankesh	20	M	med	45.6
122	222	ketan	21	M	arts	56.7
123	223	mahesh	21	M	non med	67.8
124	224	ankit	23	M	med	47.8
125	225	puspendar	23	M	arts	23.4
126	226	shaffi	21	M	non med	57
127	227	nitika	25	F	com	69.7
128	228	kirti	23	F	com	87.8
129	229	payal	21	F	non med	88.7
130	230	swati	23	F	arts	65.5
131	231	aakansha	23	F	non med	66.5
132	232	priyanka	25	F	com	67.7
133	233	amita	24	F	com	63.6
134	234	anurita	25	F	med	54.6
135	235	sonam	20	F	arts	56.7
136	236	katrina	25	F	non med	58.7
137	237	vicky	20	M	med	54.8
138	238	shubham	21	M	arts	45.6
139	239	chanky	24	M	non med	66.7
140	240	deepak	20	M	com	56.7
141	241	sagar	18	M	com	56.7
142	242	ombir	18	M	non med	77.6
